starID,HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, Detection Wavelength (microns), Characterization Wavelength (microns), EEID (mas), nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
           5,      71681.0,      219.904,     -60.8372,      2.89000,      2.21000,      1.33000,          NaN,          NaN,   -0.0100000,    -0.490000,    -0.600000,      5.68237,      1.34749,K1V,     0.551684,      6.21117,     0.895919,      5.30000,     -1.34000,           1,           1,     0.650000,      1.00000,      551.213,      3.00000,      2.50832,      1.04464,     0.145595,     0.595594
           6,      37279.0,      114.825,      5.22494,     0.820000,     0.790000,     0.370000,   -0.0500000,    -0.280000,    -0.498000,    -0.666000,    -0.658000,      2.65130,      3.49736,F5IV-V+DQZ,      7.20780,      5.48733,      1.53000,      3.80000,      10.3400,           1,           1,     0.950000,      1.00000,      767.646,      3.00000,      1.25895,    0.0742878,     0.201848,     0.825710
           7,      71683.0,      219.910,     -60.8340,     0.960000,     0.720000,    0.0100000,          NaN,          NaN,     -1.45400,     -1.88600,     -2.00800,      4.36237,      1.34749,G2V,      1.65904,      8.87825,      1.03521,      5.30000,      1.34000,           1,           1,     0.950000,      1.00000,      955.878,      3.00000,      2.24006,     0.200740,     0.131071,     0.536179
          11,      97649.0,      297.696,      8.86839,      1.07000,     0.980000,     0.760000,     0.620000,     0.490000,     0.313000,     0.102000,     0.102000,      2.20962,      5.12952,A7Vn,      10.4165,      3.24843,      1.82819,      195.800,      8.87000,           1,           1,     0.900000,      1.00000,      629.193,      3.00000,      1.66342,     0.257389,     0.218257,     0.892836
          23,      113368.,      344.413,     -29.6221,      1.31000,      1.25000,      1.16000,      1.11000,      1.09000,      1.03700,     0.937000,     0.945000,      1.72654,      7.70357,A4V,      17.1943,      2.30017,      2.11936,      12.7000,      23.4400,           1,           1,     0.700000,      1.00000,      538.270,      3.00000,      2.24593,     0.887339,     0.175739,     0.718905
          29,      2021.00,      6.43511,     -77.2542,      3.52000,      3.41000,      2.79000,      2.28000,      1.94000,      1.67600,      1.43400,      1.37200,      3.42099,      7.47830,G0V,      3.57119,      2.32289,      1.20000,          NaN,          NaN,           1,           1,     0.500000,      1.00000,      252.699,      3.00000,      2.40869,     0.841359,     0.243493,     0.996067
          31,      67927.0,      208.671,      18.3977,      3.44000,      3.25000,      2.68000,      2.24000,      1.95000,      1.79300,      1.53400,      1.48500,      2.40660,      11.3417,G0IV,      8.78916,      2.20998,      1.65000,      114.900,      7.27000,           1,           1,     0.500000,      1.00000,      261.393,      3.00000,      3.64920,      3.10289,     0.216605,     0.886076
          32,      57632.0,      177.265,      14.5721,      2.30000,      2.22000,      2.13000,      2.08000,      2.06000,      1.85400,      1.92500,      1.88300,      1.90515,      11.0910,A3Va,      13.7599,      1.43392,      2.11464,      39.1000,      13.5600,           1,           1,     0.500000,      1.00000,      334.454,      3.00000,      2.38918,      3.75156,     0.185667,     0.759518
          44,      95501.0,      291.375,      3.11479,      3.72000,      3.68000,      3.36000,      3.11000,      2.95000,      2.63600,      2.47500,      2.44300,      2.42624,      15.3728,F1IV-V(n),      8.26061,      1.15334,      1.57126,     0.100000,          NaN,           1,           1,     0.500000,      1.00000,      186.962,      3.00000,      2.67072,      3.53292,     0.112711,     0.461070
          49,      16852.0,      54.2183,     0.401603,      5.23000,      5.15000,      4.30000,      4.09000,      3.77000,      3.19400,      2.91600,      2.83500,      3.58174,      13.9204,F9IV-V,      3.16109,      1.10084,      1.12995,          NaN,          NaN,           1,           1,     0.500000,      1.00000,      127.722,      3.00000,      3.10473,      3.63491,     0.118759,     0.485811
