h_earth_char_count_lo,h_earth_char_count_hi,h_earth_char_all_mean,h_earth_char_all_std,h_earth_char_all_sem,h_earth_char_all_nEns,h_earth_xchar_all_mean,h_earth_xchar_all_std,h_earth_xchar_all_sem,h_earth_xchar_all_nEns,h_earth_char_strict_mean,h_earth_char_strict_std,h_earth_char_strict_sem,h_earth_char_strict_nEns
0.0,1.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
1.0,2.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
2.0,3.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
3.0,4.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
4.0,5.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
5.0,6.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
6.0,7.0,0.01,0.09999999999999999,0.009999999999999998,100,0.01,0.09999999999999999,0.009999999999999998,100,0.01,0.09999999999999999,0.009999999999999998,100
7.0,8.0,0.03,0.1714466079977654,0.01714466079977654,100,0.03,0.1714466079977654,0.01714466079977654,100,0.03,0.1714466079977654,0.01714466079977654,100
8.0,9.0,0.1,0.3015113445777634,0.03015113445777634,100,0.1,0.3015113445777634,0.03015113445777634,100,0.1,0.3015113445777634,0.03015113445777634,100
9.0,10.0,0.12,0.3265986323710906,0.03265986323710906,100,0.12,0.3265986323710906,0.03265986323710906,100,0.12,0.3265986323710906,0.03265986323710906,100
10.0,11.0,0.14,0.34873508801977715,0.03487350880197772,100,0.14,0.34873508801977715,0.03487350880197772,100,0.14,0.34873508801977715,0.03487350880197772,100
11.0,12.0,0.09,0.2876234912646614,0.028762349126466143,100,0.09,0.2876234912646614,0.028762349126466143,100,0.09,0.2876234912646614,0.028762349126466143,100
12.0,13.0,0.07,0.25643239997624284,0.025643239997624283,100,0.07,0.25643239997624284,0.025643239997624283,100,0.07,0.25643239997624284,0.025643239997624283,100
