h_event_count_lo,h_event_count_hi,h_event_count_char_mean,h_event_count_char_std,h_event_count_char_sem,h_event_count_char_nEns,h_event_count_char_rvplan_mean,h_event_count_char_rvplan_std,h_event_count_char_rvplan_sem,h_event_count_char_rvplan_nEns,h_event_count_det_mean,h_event_count_det_std,h_event_count_det_sem,h_event_count_det_nEns,h_event_count_det_rvplan_mean,h_event_count_det_rvplan_std,h_event_count_det_rvplan_sem,h_event_count_det_rvplan_nEns,h_event_count_detp_mean,h_event_count_detp_std,h_event_count_detp_sem,h_event_count_detp_nEns,h_event_count_slew_mean,h_event_count_slew_std,h_event_count_slew_sem,h_event_count_slew_nEns
0,1,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100
1,2,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
2,3,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
3,4,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
4,5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
5,6,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
6,7,0.03,0.1714466079977652,0.017144660799776522,100,0.03,0.1714466079977652,0.017144660799776522,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
7,8,0.03,0.1714466079977653,0.01714466079977653,100,0.03,0.1714466079977653,0.01714466079977653,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
8,9,0.15,0.3588702812826372,0.03588702812826372,100,0.15,0.3588702812826372,0.03588702812826372,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
9,10,0.15,0.3588702812826371,0.03588702812826371,100,0.15,0.3588702812826371,0.03588702812826371,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
10,11,0.15,0.3588702812826371,0.03588702812826371,100,0.15,0.3588702812826371,0.03588702812826371,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
11,12,0.08,0.27265992434429104,0.027265992434429103,100,0.08,0.27265992434429104,0.027265992434429103,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
12,13,0.14,0.348735088019777,0.0348735088019777,100,0.14,0.348735088019777,0.0348735088019777,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
13,14,0.09,0.2876234912646616,0.028762349126466157,100,0.09,0.2876234912646616,0.028762349126466157,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
14,15,0.09,0.2876234912646614,0.028762349126466143,100,0.09,0.2876234912646614,0.028762349126466143,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
15,16,0.05,0.21904291355759026,0.021904291355759026,100,0.05,0.21904291355759026,0.021904291355759026,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
