h_phist_count_lo,h_phist_count_hi,h_phist_t1_count_allplan_mean,h_phist_t1_count_earth_mean,h_phist_t1_count_hzone_mean,h_phist_t1_count_star_mean,h_phist_t1_promo_allplan_mean,h_phist_t1_promo_earth_mean,h_phist_t1_promo_hzone_mean,h_phist_t1_promo_star_mean,h_phist_t1_spanEarth_star_mean,h_phist_t1_spanHZ0_star_mean,h_phist_t1_spanHZ1_star_mean,h_phist_t1_spanPlan_star_mean,h_phist_t1_span_allplan_mean,h_phist_t1_span_earth_mean,h_phist_t1_span_hzone_mean,h_phist_t1_span_star_mean,h_phist_t2_count_allplan_mean,h_phist_t2_count_earth_mean,h_phist_t2_count_hzone_mean,h_phist_t2_count_star_mean,h_phist_t2_promo_allplan_mean,h_phist_t2_promo_earth_mean,h_phist_t2_promo_hzone_mean,h_phist_t2_promo_star_mean,h_phist_t2_spanEarth_star_mean,h_phist_t2_spanHZ0_star_mean,h_phist_t2_spanHZ1_star_mean,h_phist_t2_spanPlan_star_mean,h_phist_t2_span_allplan_mean,h_phist_t2_span_earth_mean,h_phist_t2_span_hzone_mean,h_phist_t2_span_star_mean
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.06,0.06,0.06,0.02,0.06,0.06,0.06,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.09,0.09,0.09,0.05,0.09,0.09,0.09,0.06,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.17,0.17,0.17,0.15,0.17,0.17,0.17,0.15,0.03,0.01,0.07,0.04,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.17,0.17,0.17,0.21,0.17,0.17,0.17,0.21,0.08,0.05,0.15,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.06,0.11,0.11,0.11,0.06,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
7,8,0.18,0.18,0.18,0.15,0.18,0.18,0.18,0.16,0.19,0.22,0.2,0.22,0.18,0.18,0.18,0.22,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.08,0.04,0.08,0.06,0.04,0.04,0.04,0.06
8,9,0.17,0.17,0.17,0.14,0.17,0.17,0.17,0.12,0.08,0.13,0.12,0.13,0.11,0.11,0.11,0.13,0.18,0.18,0.18,0.16,0.18,0.18,0.18,0.17,0.12,0.1,0.13,0.12,0.14,0.14,0.14,0.12
9,10,0.07,0.07,0.07,0.14,0.07,0.07,0.07,0.14,0.11,0.08,0.17,0.12,0.18,0.18,0.18,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.1,0.11,0.15,0.15,0.16,0.12,0.12,0.12,0.16
