h_Rp_lo,h_Rp_hi,h_L_lo,h_L_hi,h_RpL_char_full_mean,h_RpL_char_full_std,h_RpL_char_full_sem,h_RpL_char_full_nEns,h_RpL_char_full_q25,h_RpL_char_full_q50,h_RpL_char_full_q75,h_RpL_char_part_mean,h_RpL_char_part_std,h_RpL_char_part_sem,h_RpL_char_part_nEns,h_RpL_char_part_q25,h_RpL_char_part_q50,h_RpL_char_part_q75,h_RpL_char_snr_mean,h_RpL_char_snr_std,h_RpL_char_snr_sem,h_RpL_char_snr_nEns,h_RpL_char_snr_q25,h_RpL_char_snr_q50,h_RpL_char_snr_q75,h_RpL_char_strict_mean,h_RpL_char_strict_std,h_RpL_char_strict_sem,h_RpL_char_strict_nEns,h_RpL_char_strict_q25,h_RpL_char_strict_q50,h_RpL_char_strict_q75,h_RpL_char_tput_full_mean,h_RpL_char_tput_full_std,h_RpL_char_tput_full_sem,h_RpL_char_tput_full_nEns,h_RpL_char_tput_full_q25,h_RpL_char_tput_full_q50,h_RpL_char_tput_full_q75,h_RpL_char_tput_strict_mean,h_RpL_char_tput_strict_std,h_RpL_char_tput_strict_sem,h_RpL_char_tput_strict_nEns,h_RpL_char_tput_strict_q25,h_RpL_char_tput_strict_q50,h_RpL_char_tput_strict_q75,h_RpL_det_alt_mean,h_RpL_det_alt_std,h_RpL_det_alt_sem,h_RpL_det_alt_nEns,h_RpL_det_alt_q25,h_RpL_det_alt_q50,h_RpL_det_alt_q75,h_RpL_det_main_mean,h_RpL_det_main_std,h_RpL_det_main_sem,h_RpL_det_main_nEns,h_RpL_det_main_q25,h_RpL_det_main_q50,h_RpL_det_main_q75,h_RpL_population_mean,h_RpL_population_std,h_RpL_population_sem,h_RpL_population_nEns,h_RpL_population_q25,h_RpL_population_q50,h_RpL_population_q75,h_RpL_xchar_full_mean,h_RpL_xchar_full_std,h_RpL_xchar_full_sem,h_RpL_xchar_full_nEns,h_RpL_xchar_full_q25,h_RpL_xchar_full_q50,h_RpL_xchar_full_q75,h_RpL_xchar_part_mean,h_RpL_xchar_part_std,h_RpL_xchar_part_sem,h_RpL_xchar_part_nEns,h_RpL_xchar_part_q25,h_RpL_xchar_part_q50,h_RpL_xchar_part_q75,h_RpL_xchar_snr_mean,h_RpL_xchar_snr_std,h_RpL_xchar_snr_sem,h_RpL_xchar_snr_nEns,h_RpL_xchar_snr_q25,h_RpL_xchar_snr_q50,h_RpL_xchar_snr_q75,h_RpL_xchar_tput_full_mean,h_RpL_xchar_tput_full_std,h_RpL_xchar_tput_full_sem,h_RpL_xchar_tput_full_nEns,h_RpL_xchar_tput_full_q25,h_RpL_xchar_tput_full_q50,h_RpL_xchar_tput_full_q75,h_RpL_xdet_alt_mean,h_RpL_xdet_alt_std,h_RpL_xdet_alt_sem,h_RpL_xdet_alt_nEns,h_RpL_xdet_alt_q25,h_RpL_xdet_alt_q50,h_RpL_xdet_alt_q75,h_RpL_xdet_main_mean,h_RpL_xdet_main_std,h_RpL_xdet_main_sem,h_RpL_xdet_main_nEns,h_RpL_xdet_main_q25,h_RpL_xdet_main_q50,h_RpL_xdet_main_q75,h_RpL_char_full_red_mean,h_RpL_char_full_red_std,h_RpL_char_full_red_sem,h_RpL_char_full_red_nEns,h_RpL_char_full_red_q25,h_RpL_char_full_red_q50,h_RpL_char_full_red_q75,h_RpL_char_part_red_mean,h_RpL_char_part_red_std,h_RpL_char_part_red_sem,h_RpL_char_part_red_nEns,h_RpL_char_part_red_q25,h_RpL_char_part_red_q50,h_RpL_char_part_red_q75,h_RpL_char_full_union_mean,h_RpL_char_full_union_std,h_RpL_char_full_union_sem,h_RpL_char_full_union_nEns,h_RpL_char_full_union_q25,h_RpL_char_full_union_q50,h_RpL_char_full_union_q75,h_RpL_char_part_union_mean,h_RpL_char_part_union_std,h_RpL_char_part_union_sem,h_RpL_char_part_union_nEns,h_RpL_char_part_union_q25,h_RpL_char_part_union_q50,h_RpL_char_part_union_q75,h_RpL_char_snr_red_mean,h_RpL_char_snr_red_std,h_RpL_char_snr_red_sem,h_RpL_char_snr_red_nEns,h_RpL_char_snr_red_q25,h_RpL_char_snr_red_q50,h_RpL_char_snr_red_q75,h_RpL_char_snr_union_mean,h_RpL_char_snr_union_std,h_RpL_char_snr_union_sem,h_RpL_char_snr_union_nEns,h_RpL_char_snr_union_q25,h_RpL_char_snr_union_q50,h_RpL_char_snr_union_q75
0.5,1.0,182.0,1.0,0.24,0.4948216697442476,0.049482166974424764,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.359914029492888,0.003488362831886379,0.0007437214546664618,22,5.360478658402006,5.361311183145396,5.361867986180416,0.24,0.4948216697442476,0.049482166974424764,100,0.0,0.0,0.0,0.041286239013511736,0.09131622466214322,0.00917762589321598,99,0.0,0.0,0.0,0.041286239013511736,0.09131622466214322,0.00917762589321598,99,0.0,0.0,0.0,0.36,0.5416025603090642,0.05416025603090642,100,0.0,0.0,1.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.006644067796610167,0.0031070800341811296,0.00031070800341811294,100,0.004519774011299435,0.006779661016949152,0.007909604519774011,0.24,0.4948216697442476,0.049482166974424764,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.359914029492888,0.003488362831886379,0.0007437214546664618,22,5.360478658402006,5.361311183145396,5.361867986180416,0.041286239013511736,0.09131622466214322,0.00917762589321598,99,0.0,0.0,0.0,0.87,1.4540434739863959,0.14540434739863958,100,0.0,0.0,2.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.24,0.4948216697442476,0.049482166974424764,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.24,0.4948216697442476,0.049482166974424764,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.359914029492888,0.003488362831886379,0.0007437214546664618,22,5.360478658402006,5.361311183145396,5.361867986180416,5.359914029492888,0.003488362831886379,0.0007437214546664618,22,5.360478658402006,5.361311183145396,5.361867986180416
0.5,1.0,1.0,0.28,3.95,2.133783096528394,0.21337830965283938,100,2.0,4.0,5.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.461503589575356,0.31680707754273385,0.032503720334620775,95,5.359839895740365,5.361062637459508,5.362740744345687,3.95,2.133783096528394,0.21337830965283938,100,2.0,4.0,5.0,0.03696642786248818,0.019680771870815954,0.0019680771870815954,100,0.02210144927536232,0.03623544843416954,0.05170327207530255,0.03696642786248818,0.019680771870815954,0.0019680771870815954,100,0.02210144927536232,0.03623544843416954,0.05170327207530255,7.04,2.5062346500701245,0.25062346500701244,100,5.0,7.0,9.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.12038418079096042,0.013006299263371227,0.0013006299263371227,100,0.11271186440677966,0.12090395480225989,0.1288135593220339,3.95,2.133783096528394,0.21337830965283938,100,2.0,4.0,5.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.461503589575356,0.31680707754273385,0.032503720334620775,95,5.359839895740365,5.361062637459508,5.362740744345687,0.03696642786248818,0.019680771870815954,0.0019680771870815954,100,0.02210144927536232,0.03623544843416954,0.05170327207530255,17.78,6.60666941870719,0.660666941870719,100,12.75,17.5,23.0,0.0,0.0,0.0,100,0.0,0.0,0.0,3.95,2.133783096528394,0.21337830965283938,100,2.0,4.0,5.0,0.0,0.0,0.0,100,0.0,0.0,0.0,3.95,2.133783096528394,0.21337830965283938,100,2.0,4.0,5.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.461503589575356,0.31680707754273385,0.032503720334620775,95,5.359839895740365,5.361062637459508,5.362740744345687,5.461503589575356,0.31680707754273385,0.032503720334620775,95,5.359839895740365,5.361062637459508,5.362740744345687
0.5,1.0,0.28,0.0035,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
1.0,1.75,187.0,1.12,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
1.0,1.75,1.12,0.3,7.9,2.443296332763787,0.2443296332763787,100,6.0,8.0,9.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.86710744398895,0.6731567596319388,0.06731567596319388,100,5.360998968116456,5.5028097301136,6.241270946567269,7.9,2.443296332763787,0.2443296332763787,100,6.0,8.0,9.0,0.07582546502382398,0.021665628486035184,0.0021665628486035185,100,0.06054075235109718,0.07547169811320754,0.08490566037735849,0.07582546502382398,0.021665628486035184,0.0021665628486035185,100,0.06054075235109718,0.07547169811320754,0.08490566037735849,9.75,2.7131367660166177,0.2713136766016618,100,8.0,9.5,11.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.11743502824858762,0.011764941794587787,0.0011764941794587787,100,0.10932203389830508,0.11864406779661017,0.12542372881355932,7.9,2.443296332763787,0.2443296332763787,100,6.0,8.0,9.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.86710744398895,0.6731567596319388,0.06731567596319388,100,5.360998968116456,5.5028097301136,6.241270946567269,0.07582546502382398,0.021665628486035184,0.0021665628486035185,100,0.06054075235109718,0.07547169811320754,0.08490566037735849,25.92,7.428691307724028,0.7428691307724028,100,21.0,25.0,31.0,0.0,0.0,0.0,100,0.0,0.0,0.0,7.9,2.443296332763787,0.2443296332763787,100,6.0,8.0,9.0,0.0,0.0,0.0,100,0.0,0.0,0.0,7.9,2.443296332763787,0.2443296332763787,100,6.0,8.0,9.0,0.0,0.0,0.0,100,0.0,0.0,0.0,5.86710744398895,0.6731567596319388,0.06731567596319388,100,5.360998968116456,5.5028097301136,6.241270946567269,5.86710744398895,0.6731567596319388,0.06731567596319388,100,5.360998968116456,5.5028097301136,6.241270946567269
1.0,1.75,0.3,0.003,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
1.75,3.5,188.0,1.15,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
1.75,3.5,1.15,0.32,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
1.75,3.5,0.32,0.003,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
3.5,6.0,220.0,1.65,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
