h_det_time_lo,h_det_time_hi,h_time_char_full_allplan_cume_red_mean,h_time_char_full_allplan_cume_red_std,h_time_char_full_allplan_cume_red_sem,h_time_char_full_allplan_cume_red_nEns,h_time_char_full_allplan_cume_union_mean,h_time_char_full_allplan_cume_union_std,h_time_char_full_allplan_cume_union_sem,h_time_char_full_allplan_cume_union_nEns,h_time_char_full_allplan_revi_red_mean,h_time_char_full_allplan_revi_red_std,h_time_char_full_allplan_revi_red_sem,h_time_char_full_allplan_revi_red_nEns,h_time_char_full_allplan_revi_union_mean,h_time_char_full_allplan_revi_union_std,h_time_char_full_allplan_revi_union_sem,h_time_char_full_allplan_revi_union_nEns,h_time_char_full_allplan_uniq_red_mean,h_time_char_full_allplan_uniq_red_std,h_time_char_full_allplan_uniq_red_sem,h_time_char_full_allplan_uniq_red_nEns,h_time_char_full_allplan_uniq_union_mean,h_time_char_full_allplan_uniq_union_std,h_time_char_full_allplan_uniq_union_sem,h_time_char_full_allplan_uniq_union_nEns,h_time_char_full_earth_cume_red_mean,h_time_char_full_earth_cume_red_std,h_time_char_full_earth_cume_red_sem,h_time_char_full_earth_cume_red_nEns,h_time_char_full_earth_cume_union_mean,h_time_char_full_earth_cume_union_std,h_time_char_full_earth_cume_union_sem,h_time_char_full_earth_cume_union_nEns,h_time_char_full_earth_revi_red_mean,h_time_char_full_earth_revi_red_std,h_time_char_full_earth_revi_red_sem,h_time_char_full_earth_revi_red_nEns,h_time_char_full_earth_revi_union_mean,h_time_char_full_earth_revi_union_std,h_time_char_full_earth_revi_union_sem,h_time_char_full_earth_revi_union_nEns,h_time_char_full_earth_uniq_red_mean,h_time_char_full_earth_uniq_red_std,h_time_char_full_earth_uniq_red_sem,h_time_char_full_earth_uniq_red_nEns,h_time_char_full_earth_uniq_union_mean,h_time_char_full_earth_uniq_union_std,h_time_char_full_earth_uniq_union_sem,h_time_char_full_earth_uniq_union_nEns,h_time_char_part_allplan_cume_red_mean,h_time_char_part_allplan_cume_red_std,h_time_char_part_allplan_cume_red_sem,h_time_char_part_allplan_cume_red_nEns,h_time_char_part_allplan_cume_union_mean,h_time_char_part_allplan_cume_union_std,h_time_char_part_allplan_cume_union_sem,h_time_char_part_allplan_cume_union_nEns,h_time_char_part_allplan_revi_red_mean,h_time_char_part_allplan_revi_red_std,h_time_char_part_allplan_revi_red_sem,h_time_char_part_allplan_revi_red_nEns,h_time_char_part_allplan_revi_union_mean,h_time_char_part_allplan_revi_union_std,h_time_char_part_allplan_revi_union_sem,h_time_char_part_allplan_revi_union_nEns,h_time_char_part_allplan_uniq_red_mean,h_time_char_part_allplan_uniq_red_std,h_time_char_part_allplan_uniq_red_sem,h_time_char_part_allplan_uniq_red_nEns,h_time_char_part_allplan_uniq_union_mean,h_time_char_part_allplan_uniq_union_std,h_time_char_part_allplan_uniq_union_sem,h_time_char_part_allplan_uniq_union_nEns,h_time_char_part_earth_cume_red_mean,h_time_char_part_earth_cume_red_std,h_time_char_part_earth_cume_red_sem,h_time_char_part_earth_cume_red_nEns,h_time_char_part_earth_cume_union_mean,h_time_char_part_earth_cume_union_std,h_time_char_part_earth_cume_union_sem,h_time_char_part_earth_cume_union_nEns,h_time_char_part_earth_revi_red_mean,h_time_char_part_earth_revi_red_std,h_time_char_part_earth_revi_red_sem,h_time_char_part_earth_revi_red_nEns,h_time_char_part_earth_revi_union_mean,h_time_char_part_earth_revi_union_std,h_time_char_part_earth_revi_union_sem,h_time_char_part_earth_revi_union_nEns,h_time_char_part_earth_uniq_red_mean,h_time_char_part_earth_uniq_red_std,h_time_char_part_earth_uniq_red_sem,h_time_char_part_earth_uniq_red_nEns,h_time_char_part_earth_uniq_union_mean,h_time_char_part_earth_uniq_union_std,h_time_char_part_earth_uniq_union_sem,h_time_char_part_earth_uniq_union_nEns,h_time_det_allplan_cume_mean,h_time_det_allplan_cume_std,h_time_det_allplan_cume_sem,h_time_det_allplan_cume_nEns,h_time_det_allplan_revi_mean,h_time_det_allplan_revi_std,h_time_det_allplan_revi_sem,h_time_det_allplan_revi_nEns,h_time_det_allplan_uniq_mean,h_time_det_allplan_uniq_std,h_time_det_allplan_uniq_sem,h_time_det_allplan_uniq_nEns,h_time_det_earth_cume_mean,h_time_det_earth_cume_std,h_time_det_earth_cume_sem,h_time_det_earth_cume_nEns,h_time_det_earth_revi_mean,h_time_det_earth_revi_std,h_time_det_earth_revi_sem,h_time_det_earth_revi_nEns,h_time_det_earth_uniq_mean,h_time_det_earth_uniq_std,h_time_det_earth_uniq_sem,h_time_det_earth_uniq_nEns
0.0,30.5,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.04,0.2814105882725792,0.02814105882725792,100,0.04,0.2814105882725792,0.02814105882725792,100,2.97,1.7082982258033368,0.1708298225803337,100,0.16,0.4653661532230905,0.04653661532230905,100,2.81,1.5221927299362286,0.15221927299362287,100,2.97,1.7082982258033368,0.1708298225803337,100,0.16,0.4653661532230905,0.04653661532230905,100,2.81,1.5221927299362286,0.15221927299362287,100
30.5,61.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,1.81,1.1520293907586372,0.11520293907586372,100,0.19,0.41911402464790604,0.0419114024647906,100,1.62,1.1351144649262683,0.11351144649262683,100,1.81,1.1520293907586372,0.11520293907586372,100,0.19,0.41911402464790604,0.0419114024647906,100,1.62,1.1351144649262683,0.11351144649262683,100
61.0,91.5,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.09,0.3509007169147895,0.03509007169147895,100,0.09,0.3509007169147895,0.03509007169147895,100,1.66,1.2650707649787971,0.1265070764978797,100,0.63,0.872185227292386,0.0872185227292386,100,1.03,0.9261083995282452,0.09261083995282451,100,1.66,1.2650707649787971,0.1265070764978797,100,0.63,0.872185227292386,0.0872185227292386,100,1.03,0.9261083995282452,0.09261083995282451,100
91.5,122.0,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.27,0.5659532050470523,0.05659532050470523,100,0.27,0.5659532050470523,0.05659532050470523,100,1.73,1.0904081341359753,0.10904081341359753,100,0.77,0.7634980634744881,0.07634980634744881,100,0.96,0.875248882353246,0.0875248882353246,100,1.73,1.0904081341359753,0.10904081341359753,100,0.77,0.7634980634744881,0.07634980634744881,100,0.96,0.875248882353246,0.0875248882353246,100
122.0,152.5,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.56,0.7009373233842888,0.07009373233842889,100,0.56,0.7009373233842888,0.07009373233842889,100,2.07,1.423149161315684,0.14231491613156838,100,1.36,1.0779704086941353,0.10779704086941352,100,0.71,0.9670845491747478,0.09670845491747479,100,2.07,1.423149161315684,0.14231491613156838,100,1.36,1.0779704086941353,0.10779704086941352,100,0.71,0.9670845491747478,0.09670845491747479,100
152.5,183.0,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,1.59,1.0550025132815102,0.10550025132815102,100,0.99,0.8932406102942185,0.08932406102942185,100,0.6,0.7247430753394781,0.07247430753394782,100,1.59,1.0550025132815102,0.10550025132815102,100,0.99,0.8932406102942185,0.08932406102942185,100,0.6,0.7247430753394781,0.07247430753394782,100
183.0,213.5,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.24,0.5706632681858593,0.057066326818585936,100,0.24,0.5706632681858593,0.057066326818585936,100,1.34,1.1994948431685228,0.11994948431685229,100,0.74,0.8482900209220665,0.08482900209220665,100,0.6,0.804030252207369,0.0804030252207369,100,1.34,1.1994948431685228,0.11994948431685229,100,0.74,0.8482900209220665,0.08482900209220665,100,0.6,0.804030252207369,0.0804030252207369,100
213.5,244.0,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.41,0.6528105515091004,0.06528105515091004,100,0.41,0.6528105515091004,0.06528105515091004,100,1.38,1.2853486733650181,0.12853486733650182,100,0.97,1.0195562512656917,0.10195562512656917,100,0.41,0.7120180453961108,0.07120180453961109,100,1.38,1.2853486733650181,0.12853486733650182,100,0.97,1.0195562512656917,0.10195562512656917,100,0.41,0.7120180453961108,0.07120180453961109,100
244.0,274.5,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.4,0.6666666666666664,0.06666666666666664,100,0.4,0.6666666666666664,0.06666666666666664,100,1.36,1.0494827971025251,0.10494827971025252,100,1.01,0.9586922911398158,0.09586922911398157,100,0.35,0.6256309946079568,0.06256309946079568,100,1.36,1.0494827971025251,0.10494827971025252,100,1.01,0.9586922911398158,0.09586922911398157,100,0.35,0.6256309946079568,0.06256309946079568,100
274.5,305.0,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.39,0.6650738547884979,0.0665073854788498,100,0.39,0.6650738547884979,0.0665073854788498,100,1.29,1.1036669824185232,0.11036669824185233,100,1.04,0.952614689932266,0.0952614689932266,100,0.25,0.5,0.05,100,1.29,1.1036669824185232,0.11036669824185233,100,1.04,0.952614689932266,0.0952614689932266,100,0.25,0.5,0.05,100
